1, none, minecraft:the_void, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
49, plains, minecraft:plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
50, plains, minecraft:plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
51, plains, minecraft:plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
52, plains, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
53, plains, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
54, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
55, plains, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
56, plains, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
57, plains, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
58, plains, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
59, plains, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
60, plains, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
61, plains, minecraft:sunflower_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
62, plains, minecraft:sunflower_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
63, plains, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
64, plains, minecraft:sunflower_plains, MONSTER, player_mobs:player_mob, 80, 4, 4
65, plains, minecraft:sunflower_plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
66, plains, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
67, plains, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
68, plains, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 8, 8
69, plains, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 8, 8
70, plains, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 8, 8
71, plains, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 8, 8
72, plains, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
73, plains, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
74, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:fancy_chicken, 10, 3, 6
75, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:duck, 10, 3, 6
76, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
77, plains, minecraft:sunflower_plains, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
78, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
79, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
80, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
81, plains, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
82, plains, minecraft:sunflower_plains, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
83, plains, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
84, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
85, plains, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
86, plains, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
87, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
88, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
89, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
90, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
91, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
92, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
93, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
94, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
95, plains, minecraft:sunflower_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
96, plains, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
97, icy, minecraft:snowy_plains, MONSTER, minecraft:spider, 80, 4, 4
98, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie, 80, 4, 4
99, icy, minecraft:snowy_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
100, icy, minecraft:snowy_plains, MONSTER, minecraft:skeleton, 20, 4, 4
101, icy, minecraft:snowy_plains, MONSTER, minecraft:slime, 80, 4, 4
102, icy, minecraft:snowy_plains, MONSTER, minecraft:enderman, 5, 1, 4
103, icy, minecraft:snowy_plains, MONSTER, minecraft:witch, 5, 1, 1
104, icy, minecraft:snowy_plains, MONSTER, minecraft:stray, 80, 4, 4
105, icy, minecraft:snowy_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
106, icy, minecraft:snowy_plains, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
107, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
108, icy, minecraft:snowy_plains, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
109, icy, minecraft:snowy_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
110, icy, minecraft:snowy_plains, MONSTER, player_mobs:player_mob, 80, 4, 4
111, icy, minecraft:snowy_plains, MONSTER, rottencreatures:frostbitten, 80, 4, 4
112, icy, minecraft:snowy_plains, MONSTER, rottencreatures:glacial_hunter, 20, 1, 3
113, icy, minecraft:snowy_plains, MONSTER, rottencreatures:undead_miner, 20, 1, 4
114, icy, minecraft:snowy_plains, MONSTER, quark:stoneling, 80, 1, 1
115, icy, minecraft:snowy_plains, MONSTER, quark:toretoise, 80, 2, 4
116, icy, minecraft:snowy_plains, CREATURE, minecraft:rabbit, 10, 2, 3
117, icy, minecraft:snowy_plains, CREATURE, minecraft:polar_bear, 10, 1, 2
118, icy, minecraft:snowy_plains, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
119, icy, minecraft:snowy_plains, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
120, icy, minecraft:snowy_plains, CREATURE, alexsmobs:moose, 10, 3, 4
121, icy, minecraft:snowy_plains, CREATURE, alexsmobs:tusklin, 18, 3, 5
122, icy, minecraft:snowy_plains, AMBIENT, minecraft:bat, 10, 8, 8
123, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
124, icy, minecraft:snowy_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
125, icy, minecraft:snowy_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
126, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
127, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
128, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
129, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
130, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
131, icy, minecraft:snowy_plains, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
132, icy, minecraft:snowy_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
133, icy, minecraft:ice_spikes, MONSTER, minecraft:spider, 80, 4, 4
134, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie, 80, 4, 4
135, icy, minecraft:ice_spikes, MONSTER, minecraft:zombie_villager, 10, 1, 1
136, icy, minecraft:ice_spikes, MONSTER, minecraft:skeleton, 20, 4, 4
137, icy, minecraft:ice_spikes, MONSTER, minecraft:slime, 80, 4, 4
138, icy, minecraft:ice_spikes, MONSTER, minecraft:enderman, 5, 1, 4
139, icy, minecraft:ice_spikes, MONSTER, minecraft:witch, 5, 1, 1
140, icy, minecraft:ice_spikes, MONSTER, minecraft:stray, 80, 4, 4
141, icy, minecraft:ice_spikes, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
142, icy, minecraft:ice_spikes, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
143, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
144, icy, minecraft:ice_spikes, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
145, icy, minecraft:ice_spikes, MONSTER, alexsmobs:centipede_head, 10, 1, 1
146, icy, minecraft:ice_spikes, MONSTER, player_mobs:player_mob, 80, 4, 4
147, icy, minecraft:ice_spikes, MONSTER, rottencreatures:frostbitten, 80, 4, 4
148, icy, minecraft:ice_spikes, MONSTER, rottencreatures:glacial_hunter, 20, 1, 3
149, icy, minecraft:ice_spikes, MONSTER, rottencreatures:undead_miner, 20, 1, 4
150, icy, minecraft:ice_spikes, MONSTER, quark:stoneling, 80, 1, 1
151, icy, minecraft:ice_spikes, MONSTER, quark:toretoise, 80, 2, 4
152, icy, minecraft:ice_spikes, CREATURE, minecraft:rabbit, 10, 2, 3
153, icy, minecraft:ice_spikes, CREATURE, minecraft:polar_bear, 10, 1, 2
154, icy, minecraft:ice_spikes, CREATURE, earthmobsmod:wooly_cow, 10, 3, 6
155, icy, minecraft:ice_spikes, CREATURE, earthmobsmod:umbra_cow, 10, 3, 6
156, icy, minecraft:ice_spikes, CREATURE, alexsmobs:froststalker, 20, 5, 7
157, icy, minecraft:ice_spikes, CREATURE, alexsmobs:tusklin, 18, 3, 5
158, icy, minecraft:ice_spikes, AMBIENT, minecraft:bat, 10, 8, 8
159, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:fly, 10, 2, 3
160, icy, minecraft:ice_spikes, AMBIENT, alexsmobs:cockroach, 10, 5, 5
161, icy, minecraft:ice_spikes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
162, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
163, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
164, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
165, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
166, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
167, icy, minecraft:ice_spikes, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
168, icy, minecraft:ice_spikes, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
169, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
170, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
171, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 10, 1, 1
172, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
173, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
174, desert, minecraft:desert, MONSTER, minecraft:enderman, 5, 1, 4
175, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
176, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
177, desert, minecraft:desert, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
178, desert, minecraft:desert, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
179, desert, minecraft:desert, MONSTER, creeperoverhaul:desert_creeper, 75, 2, 2
180, desert, minecraft:desert, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
181, desert, minecraft:desert, MONSTER, alexsmobs:centipede_head, 10, 1, 1
182, desert, minecraft:desert, MONSTER, alexsmobs:guster, 35, 1, 2
183, desert, minecraft:desert, MONSTER, player_mobs:player_mob, 80, 4, 4
184, desert, minecraft:desert, MONSTER, rottencreatures:undead_miner, 20, 1, 4
185, desert, minecraft:desert, MONSTER, rottencreatures:mummy, 20, 1, 3
186, desert, minecraft:desert, MONSTER, rottencreatures:mummy, 20, 1, 3
187, desert, minecraft:desert, MONSTER, quark:stoneling, 80, 1, 1
188, desert, minecraft:desert, MONSTER, quark:toretoise, 80, 2, 4
189, desert, minecraft:desert, CREATURE, minecraft:rabbit, 10, 2, 3
190, desert, minecraft:desert, CREATURE, friendsandfoes:mauler, 32, 1, 1
191, desert, minecraft:desert, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
192, desert, minecraft:desert, CREATURE, alexsmobs:roadrunner, 10, 2, 2
193, desert, minecraft:desert, CREATURE, alexsmobs:rattlesnake, 12, 1, 2
194, desert, minecraft:desert, CREATURE, alexsmobs:tarantula_hawk, 10, 1, 1
195, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
196, desert, minecraft:desert, AMBIENT, alexsmobs:fly, 10, 2, 3
197, desert, minecraft:desert, AMBIENT, alexsmobs:cockroach, 10, 5, 5
198, desert, minecraft:desert, AMBIENT, alexsmobs:jerboa, 12, 1, 3
199, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
200, desert, minecraft:desert, WATER_AMBIENT, aquaculture:bayad, 10, 1, 2
201, desert, minecraft:desert, WATER_AMBIENT, aquaculture:capitaine, 10, 1, 1
202, desert, minecraft:desert, WATER_AMBIENT, aquaculture:synodontis, 20, 1, 6
203, desert, minecraft:desert, WATER_AMBIENT, aquaculture:boulti, 10, 1, 3
204, desert, minecraft:desert, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
205, swamp, minecraft:swamp, MONSTER, minecraft:spider, 80, 4, 4
206, swamp, minecraft:swamp, MONSTER, minecraft:zombie, 80, 4, 4
207, swamp, minecraft:swamp, MONSTER, minecraft:zombie_villager, 10, 1, 1
208, swamp, minecraft:swamp, MONSTER, minecraft:skeleton, 80, 4, 4
209, swamp, minecraft:swamp, MONSTER, minecraft:slime, 80, 4, 4
210, swamp, minecraft:swamp, MONSTER, minecraft:enderman, 5, 1, 4
211, swamp, minecraft:swamp, MONSTER, minecraft:witch, 5, 1, 1
212, swamp, minecraft:swamp, MONSTER, minecraft:slime, 10, 1, 1
213, swamp, minecraft:swamp, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
214, swamp, minecraft:swamp, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
215, swamp, minecraft:swamp, MONSTER, creeperoverhaul:swamp_creeper, 75, 2, 2
216, swamp, minecraft:swamp, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
217, swamp, minecraft:swamp, MONSTER, alexsmobs:centipede_head, 10, 1, 1
218, swamp, minecraft:swamp, MONSTER, player_mobs:player_mob, 80, 4, 4
219, swamp, minecraft:swamp, MONSTER, rottencreatures:swampy, 80, 4, 4
220, swamp, minecraft:swamp, MONSTER, rottencreatures:undead_miner, 20, 1, 4
221, swamp, minecraft:swamp, MONSTER, quark:stoneling, 80, 1, 1
222, swamp, minecraft:swamp, MONSTER, quark:toretoise, 80, 2, 4
223, swamp, minecraft:swamp, CREATURE, minecraft:sheep, 12, 4, 4
224, swamp, minecraft:swamp, CREATURE, minecraft:pig, 10, 4, 4
225, swamp, minecraft:swamp, CREATURE, minecraft:chicken, 10, 4, 4
226, swamp, minecraft:swamp, CREATURE, minecraft:cow, 10, 4, 4
227, swamp, minecraft:swamp, CREATURE, aquaculture:box_turtle, 10, 1, 2
228, swamp, minecraft:swamp, CREATURE, alexsmobs:crocodile, 40, 1, 2
229, swamp, minecraft:swamp, CREATURE, alexsmobs:shoebill, 10, 1, 2
230, swamp, minecraft:swamp, CREATURE, alexsmobs:alligator_snapping_turtle, 20, 1, 2
231, swamp, minecraft:swamp, CREATURE, alexsmobs:anaconda, 12, 1, 1
232, swamp, minecraft:swamp, CREATURE, quark:frog, 40, 1, 3
233, swamp, minecraft:swamp, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
234, swamp, minecraft:swamp, AMBIENT, minecraft:bat, 10, 8, 8
235, swamp, minecraft:swamp, AMBIENT, alexsmobs:fly, 10, 2, 3
236, swamp, minecraft:swamp, AMBIENT, alexsmobs:cockroach, 10, 5, 5
237, swamp, minecraft:swamp, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
238, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
239, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
240, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
241, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
242, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
243, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
244, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
245, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
246, swamp, minecraft:swamp, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
247, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
248, swamp, minecraft:swamp, WATER_AMBIENT, alexsmobs:catfish, 10, 1, 3
249, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
250, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
251, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
252, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
253, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
254, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
255, forest, minecraft:forest, MONSTER, minecraft:enderman, 5, 1, 4
256, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
257, forest, minecraft:forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
258, forest, minecraft:forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
259, forest, minecraft:forest, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
260, forest, minecraft:forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
261, forest, minecraft:forest, MONSTER, player_mobs:player_mob, 80, 4, 4
262, forest, minecraft:forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
263, forest, minecraft:forest, MONSTER, quark:stoneling, 80, 1, 1
264, forest, minecraft:forest, MONSTER, quark:toretoise, 80, 2, 4
265, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 8, 8
266, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 8, 8
267, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 8, 8
268, forest, minecraft:forest, CREATURE, minecraft:cow, 10, 8, 8
269, forest, minecraft:forest, CREATURE, minecraft:wolf, 10, 4, 4
270, forest, minecraft:forest, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
271, forest, minecraft:forest, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
272, forest, minecraft:forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
273, forest, minecraft:forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
274, forest, minecraft:forest, CREATURE, alexsmobs:crow, 10, 3, 5
275, forest, minecraft:forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
276, forest, minecraft:forest, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
277, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
278, forest, minecraft:forest, AMBIENT, alexsmobs:fly, 10, 2, 3
279, forest, minecraft:forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
280, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
281, forest, minecraft:forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
282, forest, minecraft:forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
283, forest, minecraft:forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
284, forest, minecraft:forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
285, forest, minecraft:forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
286, forest, minecraft:forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
287, forest, minecraft:forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
288, forest, minecraft:forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
289, forest, minecraft:forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
290, forest, minecraft:forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
291, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
292, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
293, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
294, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
295, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
296, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
297, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 5, 1, 4
298, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
299, forest, minecraft:flower_forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
300, forest, minecraft:flower_forest, MONSTER, earthmobsmod:lobber_zombie, 20, 2, 4
301, forest, minecraft:flower_forest, MONSTER, earthmobsmod:skeleton_wolf, 10, 3, 4
302, forest, minecraft:flower_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
303, forest, minecraft:flower_forest, MONSTER, player_mobs:player_mob, 80, 4, 4
304, forest, minecraft:flower_forest, MONSTER, rottencreatures:undead_miner, 20, 1, 4
305, forest, minecraft:flower_forest, MONSTER, quark:stoneling, 80, 1, 1
306, forest, minecraft:flower_forest, MONSTER, quark:toretoise, 80, 2, 4
307, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 8, 8
308, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 8, 8
309, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 8, 8
310, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 10, 8, 8
311, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 10, 2, 3
312, forest, minecraft:flower_forest, CREATURE, friendsandfoes:moobloom, 32, 2, 4
313, forest, minecraft:flower_forest, CREATURE, earthmobsmod:hyper_rabbit, 10, 3, 4
314, forest, minecraft:flower_forest, CREATURE, earthmobsmod:moobloom, 10, 3, 4
315, forest, minecraft:flower_forest, CREATURE, earthmobsmod:moolip, 10, 3, 4
316, forest, minecraft:flower_forest, CREATURE, earthmobsmod:jumbo_rabbit, 10, 3, 4
317, forest, minecraft:flower_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
318, forest, minecraft:flower_forest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
319, forest, minecraft:flower_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
320, forest, minecraft:flower_forest, CREATURE, alexsmobs:crow, 10, 3, 5
321, forest, minecraft:flower_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
322, forest, minecraft:flower_forest, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
323, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
324, forest, minecraft:flower_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
325, forest, minecraft:flower_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
